Card ID,Container,Folder Name,"File, TCG","File, OCG",Cen?,Patched?,Art #,English Name,Japanese Name,German Name,Korean Name
3843,–,–,–,–,No,#N/A,2,Elemental HERO Avian,Ｅ・ＨＥＲＯ　フェザーマン,Elementar-HELD Avian,엘리멘틀 히어로 페더맨
3844,–,–,–,–,Yes,#N/A,2,Elemental HERO Burstinatrix,Ｅ・ＨＥＲＯ　バーストレディ,Elementar-HELD Burstinatrix,엘리멘틀 히어로 버스트 레이디
3845,–,–,–,–,No,#N/A,2,Elemental HERO Sparkman,Ｅ・ＨＥＲＯ　スパークマン,Elementar-HELD Sparkman,엘리멘틀 히어로 스파크맨
3846,–,–,–,–,No,#N/A,2,Winged Kuriboh,ハネクリボー,Geflügelter Kuriboh,날개 크리보
3847,–,–,–,–,No,#N/A,2,Cyber Dragon,サイバー・ドラゴン,Cyber Drache,사이버 드래곤
3864,–,–,–,–,Yes,#N/A,5,Dark Magician Girl,ブラック・マジシャン・ガール,Dunkles Magier-Mädchen,블랙 매지션 걸
3866,–,–,–,–,No,#N/A,8,Blue-Eyes White Dragon,青眼の白龍,Blauäugiger w. Drache,푸른 눈의 백룡
3867,–,–,–,–,No,#N/A,7,Dark Magician,ブラック・マジシャン,Dunkler Magier,블랙 매지션
3881,–,–,–,–,No,#N/A,2,Elemental HERO Neos,Ｅ・ＨＥＲＯ　ネオス,Elementar-HELD Neos,엘리멘틀 히어로 네오스
3900,Common,0000,cbb63bbf,cbb63bbf,No,#N/A,,Insect Monster Token,インセクトモンスタートークン,Insektenmonster-Spielmarke,곤충 몬스터 토큰
3901,Common,0000,bcb10b29,bcb10b29,No,#N/A,,Kuriboh Token,クリボートークン,Kuriboh-Spielmarke,크리보 토큰
3902,Common,0000,25b85a93,25b85a93,No,#N/A,1,Sheep Token,羊トークン,Schaf-Spielmarke,양 토큰
3903,Common,0000,52bf6a05,52bf6a05,No,#N/A,2,Sheep Token,羊トークン,Schaf-Spielmarke,양 토큰
3904,Common,0000,ccdbffa6,ccdbffa6,No,#N/A,3,Sheep Token,羊トークン,Schaf-Spielmarke,양 토큰
3905,Common,0000,bbdccf30,bbdccf30,No,#N/A,4,Sheep Token,羊トークン,Schaf-Spielmarke,양 토큰
3906,Common,0000,22d59e8a,22d59e8a,No,#N/A,,Army Ant Token,兵隊アリトークン,Armeeameisen-Spielmarke,병사개미 토큰
3907,Common,0000,55d2ae1c,55d2ae1c,No,#N/A,,Slime Token,スライムモンスタートークン,Schleim-Spielmarke,슬라임 몬스터 토큰
3908,Common,0000,c56db38d,c56db38d,No,#N/A,,Wicked Token,邪神トークン,Das Böse-Spielmarke,사신 토큰
3909,Common,0000,b26a831b,b26a831b,No,#N/A,,Poisonous Snake Token,毒蛇トークン,Giftschlangen-Spielmarke,독사 토큰
3910,Common,0000,d2ad0afe,d2ad0afe,No,#N/A,,Lekunga Token,レクンガトークン,Lekunga-Spielmarke,레쿤가 토큰
3911,Common,0000,a5aa3a68,a5aa3a68,No,#N/A,,Clone Token,クローントークン,Klon-Spielmarke,클론 토큰
3912,Common,0000,3ca36bd2,3ca36bd2,No,#N/A,,Wicked Plant Token,魔草トークン,Böse Pflanze-Spielmarke,마법초 토큰
3913,Common,0000,4ba45b44,4ba45b44,No,#N/A,,Mirage Token,ミラージュトークン,Trugbild-Spielmarke,미라지 토큰
3914,Common,0000,d5c0cee7,d5c0cee7,No,#N/A,,Metal Fiend Token,メタルデビル・トークン,Metall-Unterweltler-Spielmarke,메탈 데블 토큰
3915,Common,0000,a2c7fe71,a2c7fe71,No,#N/A,1,Ojama Token,おジャマトークン,Ojama-Spielmarke,방해꾼 토큰
3916,Common,0000,3bceafcb,3bceafcb,No,#N/A,2,Ojama Token,おジャマトークン,Ojama-Spielmarke,방해꾼 토큰
3917,Common,0000,4cc99f5d,4cc99f5d,No,#N/A,3,Ojama Token,おジャマトークン,Ojama-Spielmarke,방해꾼 토큰
3918,Common,0000,dc7682cc,dc7682cc,No,#N/A,1,Lamb Token,仔羊トークン,Lamm-Spielmarke,아기양 토큰
3919,Common,0000,ab71b25a,ab71b25a,No,#N/A,2,Lamb Token,仔羊トークン,Lamm-Spielmarke,아기양 토큰
3920,Common,0000,f980593d,f980593d,No,#N/A,,Tricky Token,トリッキートークン,Trickreicher-Spielmarke,트릭키 토큰
3921,Common,0000,8e8769ab,8e8769ab,No,#N/A,,Block Token,ブロックトークン,Block-Spielmarke,블록 토큰
3922,Common,0000,178e3811,178e3811,No,#N/A,,Emissary of Darkness Token,冥府の使者カイエントークン,Gesandter der Finsternis-Spielmarke,저승사자 카이엔 토큰
3923,Common,0000,60890887,60890887,No,#N/A,,Phantasm Token,幻魔トークン,Phantom-Spielmarke,환마 토큰
3924,Common,0000,feed9d24,feed9d24,No,#N/A,,Phantasmal Martyr Token,幻魔の殉教者トークン,Phantom Märtyrer-Spielmarke,환마의 순교자 토큰
3925,Common,0000,89eaadb2,89eaadb2,No,#N/A,1,Fluff Token,綿毛トークン,Flaum-Spielmarke,플러피 토큰
3926,Common,0000,10e3fc08,10e3fc08,No,#N/A,2,Fluff Token,綿毛トークン,Flaum-Spielmarke,플러피 토큰
3927,Common,0000,67e4cc9e,67e4cc9e,No,#N/A,,Option Token,オプショントークン,Möglichkeits-Spielmarke,옵션 토큰
3928,Common,0000,f75bd10f,f75bd10f,No,#N/A,,Synthetic Seraphim Token,人造天使トークン,Künstlicher Seraph-Spielmarke,인조천사 토큰
3929,Common,0000,805ce199,805ce199,No,#N/A,,Double Dude Token,ダブルガイ・トークン,Double Dude-Spielmarke,더블 가이 토큰
3930,Common,0000,e09b687c,e09b687c,No,#N/A,,Eva Token,イーバトークン,Eva-Spielmarke,이바 토큰
3931,Common,0000,979c58ea,979c58ea,No,#N/A,,Fireball Token,火の玉トークン,Feuerball-Spielmarke,파이어볼 토큰
3932,Common,0000,0e950950,0e950950,No,#N/A,,Wild Fire Token,クレイジー・ファイヤー・トークン,Wildes-Feuer-Spielmarke,크레이지 파이어 토큰
3933,Common,0000,799239c6,799239c6,No,#N/A,,Cloudian Token,雲魔物トークン,Wolkian-Spielmarke,운마물 토큰
3934,Common,0000,e7f6ac65,e7f6ac65,No,#N/A,,Engine Token,モータートークン,Maschine-Spielmarke,모터 토큰
3935,Common,0000,90f19cf3,90f19cf3,No,#N/A,,Skyblaster Token,銃士トークン,Himmelssprenger-Spielmarke,총사 토큰
3936,Common,0000,09f8cd49,09f8cd49,No,#N/A,,Grinder Token,トーチトークン,Schleifer-Spielmarke,토치 토큰
3937,Common,0000,7efffddf,7efffddf,No,#N/A,,Regenerating Rose Token,Ｄ・ローズトークン,Nachwachsende Rose-Spielmarke,데몬 로즈 토큰
3938,Common,0000,ee40e04e,ee40e04e,No,#N/A,,Thunder Option Token,サンダーオプショントークン,Donneroptions-Spielmarke,썬더 옵션 토큰
3939,Common,0000,9947d0d8,9947d0d8,No,#N/A,,Evil Token,イービル・トークン,Böses-Spielmarke,이블 토큰
3940,Common,0000,afdafebb,afdafebb,No,#N/A,,Doomsday Token,黒焔トークン,Jüngstes-Gericht-Spielmarke,흑염 토큰
3941,Common,0000,d8ddce2d,d8ddce2d,No,#N/A,,Sinister Seed Token,デモンバルサムトークン,Finsterer-Samen-Spielmarke,데먼 발삼 토큰
3942,Common,0000,41d49f97,41d49f97,No,#N/A,,Moon Token,ムーントークン,Mond-Spielmarke,문 토큰
3943,Common,0000,36d3af01,36d3af01,No,#N/A,,Metabo Token,メタボトークン,Metabo-Spielmarke,메타보 토큰
3944,Common,0000,a8b73aa2,a8b73aa2,No,#N/A,,Oyster Token,オイスタートークン,Austern-Spielmarke,오이스터 토큰
3945,Common,0000,dfb00a34,dfb00a34,No,#N/A,,Ice Coffin Token,アイスコフュントークン,Eissarg-Spielmarke,아이스 코핀 토큰
3946,Common,0000,46b95b8e,46b95b8e,No,#N/A,,Ivy Token,アイヴィトークン,Efeu-Spielmarke,아이비 토큰
3947,Common,0000,31be6b18,31be6b18,No,#N/A,,Horseytail Token,ツクシトークン,Schachtelhalm-Spielmarke,쇠뜨기 토큰
3948,Common,0000,a1017689,a1017689,No,#N/A,,Rose Token,ローズ・トークン,Rose-Spielmarke,로즈 토큰
3949,Common,0000,d606461f,d606461f,No,#N/A,,Gift Fiend Token,ギフト・デモン・トークン,Geschenkunterweltler-Spielmarke,기프트 데몬 토큰
3950,Common,0000,b6c1cffa,b6c1cffa,No,#N/A,,Plant Token,プラントークン,Pflanze-Spielmarke,플랜트 토큰
3951,Common,0000,c1c6ff6c,c1c6ff6c,No,#N/A,,Seed Token,シードトークン,Samen-Spielmarke,시드 토큰
3952,Common,0000,58cfaed6,58cfaed6,No,#N/A,,Needle Token,ニードルトークン,Nadel-Spielmarke,니들 토큰
3953,Common,0000,2fc89e40,2fc89e40,No,#N/A,,Nightmare Archfiend Token,ナイトメア・デーモン・トークン,Albtraum-Erzunterweltler-Spielmarke,나이트메어 데몬 토큰
3954,Common,0000,b1ac0be3,b1ac0be3,No,#N/A,,Spinos Token,スピノストークン,Spinos-Spielmarke,스피노스 토큰
3955,Common,0000,c6ab3b75,c6ab3b75,No,#N/A,,Rockstone Token,ロックストーン・トークン,Felsbrocken-Spielmarke,락스톤 토큰
3956,Common,0000,5fa26acf,5fa26acf,No,#N/A,,Asmo Token,アスモトークン,Asmo-Spielmarke,아스모 토큰
3957,Common,0000,28a55a59,28a55a59,No,#N/A,,Deus Token,ディウストークン,Deus-Spielmarke,디우스 토큰
3958,Common,0000,b81a47c8,b81a47c8,No,#N/A,,Ghost Token,ゴースト・トークン,Geist-Spielmarke,고스트 토큰
3959,Common,0000,cf1d775e,cf1d775e,No,#N/A,,Jurrac Token,ジュラックトークン,Jurassier-Spielmarke,쥬락 토큰
3960,Common,0000,9dec9c39,9dec9c39,No,#N/A,,Worm Token,ワームトークン,Wurm-Spielmarke,웜 토큰
3961,Common,0000,eaebacaf,eaebacaf,No,#N/A,,Multi Token,マルチプルトークン,Multi-Spielmarke,멀티 토큰
3962,Common,0000,73e2fd15,73e2fd15,No,#N/A,,Reptilianne Token,レプティレストークン,Reptilianisch-Spielmarke,레프티레스 토큰
3963,Common,0000,04e5cd83,04e5cd83,No,#N/A,,Spider Token,スパイダー・トークン,Spinne-Spielmarke,스파이더 토큰
3964,Common,0000,9a815820,9a815820,No,#N/A,,Soul Token,ソウルトークン,Seele-Spielmarke,소울 토큰
3965,Common,0000,ed8668b6,ed8668b6,No,#N/A,,Ceremonial Token,贄の石碑トークン,Zeremonie-Spielmarke,제물의 비석 토큰
3966,Common,0000,748f390c,748f390c,No,#N/A,,Maize Token,つぶコーントークン,Mais-Spielmarke,옥수수알 토큰
3967,Common,0000,0388099a,0388099a,No,#N/A,,Laval Token,ラヴァルトークン,Laval-Spielmarke,라바르 토큰
3968,Common,0000,9337140b,9337140b,No,#N/A,,Koa'ki Meiru Token,コアキメイルトークン,Koa'ki Meiru-Spielmarke,코아키메일 토큰
3969,Common,0000,e430249d,e430249d,No,#N/A,,Siphon Token,星蝕トークン,Sauger-Spielmarke,성식 토큰
3970,Common,0000,84f7ad78,84f7ad78,No,#N/A,,Waltz Token,ワルツトークン,Walzer-Spielmarke,왈츠 토큰
3971,Common,0000,f3f09dee,f3f09dee,No,#N/A,,Compass Token,ペンデュラム・トークン,Kompass-Spielmarke,펜듈럼 토큰
3972,TCG/OCG,0000,6af9cc54,4b28e129,Yes,Yes,,Doppel Token,ドッペル・トークン,Doppel-Spielmarke,도플 토큰
3973,Common,0000,1dfefcc2,1dfefcc2,No,#N/A,,Nordic Beast Token,極星獣トークン,Nordisches Ungeheuer-Spielmarke,극성수 토큰
3974,Common,0000,839a6961,839a6961,No,#N/A,,Einherjar Token,エインヘリアル・トークン,Einherjar-Spielmarke,에인헤리아르 토큰
3975,Common,0000,f49d59f7,f49d59f7,No,#N/A,,Malus Token,邪精トークン,Malus-Spielmarke,사정 토큰
3976,Common,0000,6d94084d,6d94084d,No,#N/A,,Chewbone Jr. Token,チュウボーンＪｒ．トークン,Kauknochen Jr.-Spielmarke,츄 본 Jr. 토큰
3977,Common,0000,1a9338db,1a9338db,No,#N/A,,Photon Token,フォトントークン,Photonen-Spielmarke,포톤 토큰
3978,Common,0000,8a2c254a,8a2c254a,No,#N/A,,Battle Eagle Token,バトル・イーグル・トークン,Kampfadler-Spielmarke,배틀 이글 토큰
3979,Common,0000,fd2b15dc,fd2b15dc,No,#N/A,,Mecha Phantom Beast Token,幻獣機トークン,Mecha-Phantomungeheuer-Spielmarke,환상수기 토큰
3980,Common,0000,036fb1b7,036fb1b7,No,#N/A,,Umbral Horror Mirage Token,アンブラル・ミラージュ・トークン,Schattenhorror-Trugbild-Spielmarke,엄브럴 미라지 토큰
3981,Common,0000,74688121,74688121,No,#N/A,,Kagemusha Raccoon Token,影武者狸トークン,Kagemusha-Waschbär-Spielmarke,그림자 무사 너구리 토큰
3982,Common,0000,ed61d09b,ed61d09b,No,#N/A,,Phantom Token,幻影トークン,Spuk-Spielmarke,환영 토큰
3983,Common,0000,9a66e00d,9a66e00d,No,#N/A,,Dark Soul Token,ダークソウルトークン,Finsterseele-Spielmarke,다크 소울 토큰
